المفرد,النوع,الجمع,الأمثلة
فَعْل,اسم,أَفْعال,وَقْت أَوْقات، عَمّ أَعْمام، سَيْف أَسْياف، ثَوْب أَثْواب، حَيّ أَحْياء، لَوْن أَلْوان، شَوْق أَشْواق، غَوْر أَغْوار ...
فَعْل,صفة,أَفْعال,‏(سماعي): ضَيْف أَضْياف، شَيْخ أَشْياخ، وَعْر أَوْعار، وَغْد أَوْغاد، ثَطّ أَثْطاط، جَلْد أَجْلاد ...
فَعْل,اسم,أَفْعُل,الصحيح العين غير المضعف، وليست فاؤه واوًا: نَهْر أَنْهُر، بَحْر أَبْحُر، حَرْف أَحْرُف، ضَرْب أَضْرُب، شَهْر أَشْهُر... وشذ (لأنه أجوف): قَوْس أَقْوُس، ثَوْب أَثْوُب، عَيْن أَعْيُن، سَيْف أَسْيُف، دَيْن أَدْيُن ... وشذ (لأن فاءه واو): وَجْه أَوْجُه، وَكْر أَوْكُر، وَكْن أَوْكُن، وَسْق أَوْسُق ... وشذ (لأنه مضعف): كَفّ أَكُفّ، صَكّ أَصُكّ، ضَبّ أَضُبّ، حَظّ أَحُظّ ...
فَعْل,اسم,أَفْعِلة,‏(سماعي): فَرْخ أَفْرِخة، قَدّ أَقِدَّة ...
فَعْل,اسم,فَعائِل,‏(سماعي): لَيْل لَيائِل ...
فَعْل,اسم,فَعالٍ,‏(سماعي): لَيْل لَيالٍ، أَرْض أَراضٍ، أَهْل أَهالٍ ...
فَعْل,اسم,فِعال,غير يائي الفاء أو العين: بَحْر بِحار، دَلْو دِلاء، كَعْب كِعاب، كَبْل كِبال ، ثَوْب ثِياب، ظَبْي ظِباء ... وشذ (لأنه يائي الفاء): يَعْر يِعار ... وشذ (لأنه يائي العين): غَيْب غِياب، عَيْر عِيار ...
فَعْل,صفة,فِعال,غير يائي الفاء أو العين: ضَخْم ضِخام، صَعْب صِعاب، خَدْل خِدال، ثَطّ ثِطاط ... وشذ: ضَيْف ضِياف ...
فَعْل,اسم,فِعالة,‏(سماعي): فَحْل فِحالة، صَقْر صِقارة ...
فَعْل,صفة,فُعالَى,‏(سماعي): فَرْد فُرادَى ...
فَعْل,اسم,فُعُل,‏(سماعي): سَقْف سُقُف، رَهْن رُهُن، عَرْش عُرُش، نَجْم نُجُم، ضَبْع ضُبُع، نَهْر نُهُر، عَبْد عُبُد ...
